Category;Title;Ingredients
entree;Potage de petits pois;sel, poivre, lardons, crème fraîche, beurre, oignon, petits pois, pomme de terre, laitue, croûtons
entree;Soupe aux 7 légumes au Monsieur Cuisine;beurre, crème fraîche, oignon, courgette, tomate, poireau, carotte, navet, pomme de terre, céleri, bouillon
entree;Soupe au chou vert;thym, sel, poivre, carotte, chou, pomme de terre, navet, saucisse, laurier, cube de bouillon
entree;Soupe de lentilles MERCIMEK;huile d'olive, piment de Cayenne, beurre, sel, carotte, oignon, lentilles, pomme de terre, eau
entree;Salade de ravioles au saumon;persil, vinaigre de vin, huile d'olive, salade, raviole, saumon fumé, Parmesan, échalote, sel, poivre
entree;Soupe de butternut, crème de coco et curry;sel, curry, courge, brique, oignon rouge, eau
entree;Salade vosgienne rapide;poivre, sel, vinaigre, huile, gruyère râpé, salade, lardons fumés, dés de jambon, croûtons, oeuf, crème
entree;Rouleaux de printemps et sauce;crevettes, vermicelles de riz, carotte, galette de riz, salade, concombre, germes de soja, blanc de poulet, menthe, feuilles de coriandre, gingembre, vinaigre d'alcool, sucre roux, nuoc mam, eau, jus de citron, arachide
entree;Soupe à la cocotte-minute;poivre, sel, oignon, pomme de terre, ail, légumes
entree;Soupe courgette pomme de terre;huile d'olive, persil, courgette, pomme de terre, bouillon, kiri, basilic
entree;Ma super soupe de légumes;beurre, légumes, pomme de terre, chou, bouillon, vin blanc sec
entree;Pâté de sanglier stérilisé en bocaux;crème fraîche, oignon, persil, sel, aromate, chapelure, ail, oeuf, Alcool, saindoux, cognac, oignon, persil, sel, aromate, baguette, ail, crème fraîche épaisse, oeuf, saindoux, olives noires, foie, sanglier, sanglier
entree;Soupe carotte, patate douce et coriandre;sel, poivre, coriandre, carotte, courgette, oignon, patate douce, pomme de terre, Vache qui rit®, feuilles de coriandre
entree;Terrine de canard noisettes et pistaches de Brigitte;feuille de laurier, orange, liqueur, poivre vert, poivre, sel, huile d'olive, persil, farine, Magret de Canard, chair à saucisse, oeuf, échalote, ail, herbes de Provence, noisettes, pistaches, pistaches
entree;La soupe au lait de mon enfance;lait, pain
entree;Pâté de Lièvre;cognac, poivre, sel, muscade, vin, clou de girofle, thym, lièvre, porc, lard, rôti de veau, couenne, échalote, citron, laurier, oeuf
entree;pâté de poulet;huile, persil, sel, poivre, romarin, thym, tomate, oignon, poulet, ail, laurier
entree;Carottes rapées aux pommes sauce citron;carotte, pomme, moutarde, persil, sel, huile, citron, eau
entree;Soupe au potiron et pommes de terre;crème fraîche, sel, poivre, persil, potiron, pomme de terre, ail
entree;Velouté de radis noir;sel, crème fraîche, cube de bouillon, beurre, radis, pomme de terre, Vache qui rit®
entree;Scampis à l'italienne (recette maison);poivre, persil, beurre, crème fraîche, scampi, concentré de tomates, ail
entree;Feuilleté de saumon cru au poireau;poireau, saumon, pâte feuilletée, boursin, jus de citron, oeuf
entree;Pain de thon et tomate;sel, poivre, thon, concentré de tomates, oeuf, Fines herbes
entree;Oeufs cocotte au jambon, au micro-ondes;poivre, sel, crème fraîche, oeuf, jambon, gruyère
